"","idGame","slugTeam","namePlayer","groupStartPosition","isStarter","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","teamName","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
"47",22000604,"NYK","Obi Toppin",NA,FALSE,1610612752,1630167,0,2,0,0,1,0,0,0,1,0,"New York","Obi",3.71666666666667,0,0,1,0,1,0,0,0,0,1,0,-12
"48",22000604,"BKN","Joe Harris","F",TRUE,1610612751,203925,5,11,0.455,3,8,0.375,0,2,3,0.666666666666667,"Brooklyn","Joe",34.5,0,0,0,2,2,2,1,0,1,2,13,-7
"49",22000604,"BKN","Jeff Green","F",TRUE,1610612751,201145,8,11,0.727,2,2,1,0.667,6,9,0.666666666666667,"Brooklyn","Jeff",34.6,2,3,0,6,6,2,0,2,0,2,20,6
"50",22000604,"BKN","DeAndre Jordan","C",TRUE,1610612751,201599,3,6,0.5,0,0,0,0.5,3,6,0.5,"Brooklyn","DeAndre",30.0166666666667,2,4,3,7,10,1,0,1,2,4,8,-4
"51",22000604,"BKN","Kyrie Irving","G",TRUE,1610612751,202681,13,18,0.722,4,6,0.666666666666667,0.667,9,12,0.75,"Brooklyn","Kyrie",36.7833333333333,4,6,0,1,1,4,1,0,3,3,34,7
"52",22000604,"BKN","James Harden","G",TRUE,1610612751,201935,6,15,0.4,0,5,0,1,6,10,0.6,"Brooklyn","James",39.5666666666667,9,9,0,14,14,15,0,1,7,2,21,-3
"53",22000604,"BKN","Landry Shamet",NA,FALSE,1610612751,1629013,1,5,0.2,1,4,0.25,0,0,1,0,"Brooklyn","Landry",23.45,0,0,0,0,0,3,0,0,1,2,3,6
"54",22000604,"BKN","Tyler Johnson",NA,FALSE,1610612751,204020,2,3,0.667,2,3,0.666666666666667,0,0,0,0,"Brooklyn","Tyler",16.1333333333333,0,0,0,1,1,1,0,0,0,1,6,4
"55",22000604,"BKN","Nicolas Claxton",NA,FALSE,1610612751,1629651,3,3,1,0,0,0,0,3,3,1,"Brooklyn","Nicolas",16.3,0,0,0,4,4,1,1,2,1,2,6,11
"56",22000604,"BKN","Bruce Brown",NA,FALSE,1610612751,1628971,3,3,1,0,0,0,0,3,3,1,"Brooklyn","Bruce",6.96666666666667,0,0,0,3,3,0,0,0,0,1,6,7
"57",22000604,"BKN","Timothe Luwawu-Cabarrot",NA,FALSE,1610612751,1627789,0,1,0,0,1,0,0,0,0,0,"Brooklyn","Timothe",1.68333333333333,0,0,0,0,0,0,0,0,0,0,0,-2
"58",22000605,"LAC","Kawhi Leonard","F",TRUE,1610612746,202695,9,20,0.45,1,5,0.2,1,8,15,0.533333333333333,"LA","Kawhi",40.4,3,3,2,6,8,7,4,0,1,3,22,14
"59",22000605,"LAC","Marcus Morris Sr.","F",TRUE,1610612746,202694,6,11,0.545,2,6,0.333333333333333,0,4,5,0.8,"LA","Marcus",30.5666666666667,0,0,1,5,6,4,1,0,2,2,14,18
"60",22000605,"LAC","Ivica Zubac","C",TRUE,1610612746,1627826,7,8,0.875,0,0,0,0.5,7,8,0.875,"LA","Ivica",34.8666666666667,1,2,4,7,11,1,1,0,2,1,15,9
